Wall time,Step,Value
1714298805.5905223,43,0.0234375
1714298811.2764022,95,0.015625
1714298819.248909,168,0.03125
1714298826.0084624,230,0.0234375
1714298826.5572371,235,0.03125
1714298830.8210552,274,0.1015625
1714298834.6685052,309,0.0234375
1714298834.8870578,311,0.0546875
1714298835.7616754,319,0.046875
1714298858.8685634,475,0.0703125
1714298865.6671343,537,0.09375
1714298870.3717115,580,0.0703125
1714298871.1389308,587,0.0546875
1714298876.383663,635,0.1171875
1714298877.8063078,648,0.1328125
1714298885.1077876,715,0.109375
1714298885.9717739,723,0.1015625
1714298895.6606886,809,0.09375
1714298898.7105558,837,0.078125
1714298918.152327,1015,0.09375
1714298923.832225,1067,0.0703125
1714298927.986241,1105,0.1015625
1714298936.5982232,1181,0.1015625
1714298945.4555545,1262,0.125
1714298951.4643514,1317,0.1171875
1714298951.7922702,1320,0.0625
1714298953.3233392,1334,0.1015625
1714298953.7597606,1338,0.0703125
1714298959.0209296,1386,0.0859375
1714298959.7857215,1393,0.1328125
1714298964.5905838,1437,0.125
1714298977.248987,1553,0.109375
1714298992.709299,1692,0.125
1714298997.4006202,1735,0.0859375
1714298997.728618,1738,0.109375
1714299009.3645117,1845,0.0703125
1714299012.9585557,1878,0.1484375
1714299017.3177838,1918,0.125
1714299030.6136415,2037,0.125
1714299037.1653244,2097,0.1171875
1714299048.406619,2200,0.1484375
1714299055.2855034,2263,0.1953125
1714299060.180894,2308,0.125
1714299069.4128385,2390,0.171875
1714299074.5346007,2437,0.1328125
1714299079.861496,2486,0.1484375
1714299079.9702094,2487,0.140625
1714299081.2790413,2499,0.1640625
1714299085.0199404,2533,0.1484375
1714299101.7010741,2686,0.15625
1714299107.9747007,2741,0.125
1714299132.7367253,2968,0.1640625
1714299140.438801,3039,0.1953125
1714299154.1580958,3162,0.15625
1714299161.6871648,3231,0.1796875
1714299163.4329076,3247,0.21875
1714299163.5421786,3248,0.203125
1714299169.8490818,3306,0.109375
1714299204.3148327,3619,0.1796875
1714299204.5298195,3621,0.1953125
1714299209.9907985,3671,0.1875
1714299217.7545614,3742,0.1640625
1714299225.7170074,3815,0.21875
1714299226.4832544,3822,0.203125
1714299240.9748492,3929,0.203125
1714299244.0620975,3957,0.2109375
1714299252.771366,4037,0.1796875
1714299259.531393,4099,0.265625
1714299270.2367668,4197,0.1875
1714299274.1876128,4233,0.1953125
1714299283.7515993,4318,0.2578125
1714299292.8042107,4401,0.234375
1714299302.8348944,4493,0.1875
1714299304.6937966,4510,0.296875
1714299322.0322294,4669,0.2421875
1714299322.906666,4677,0.21875
1714299335.4530113,4789,0.21875
1714299337.0066874,4803,0.21875
1714299355.4509723,4972,0.25
1714299370.6084738,5107,0.21875
1714299373.6646183,5135,0.25
1714299396.7230237,5346,0.234375
1714299398.2482285,5360,0.2890625
1714299419.3347976,5550,0.21875
1714299433.562798,5680,0.28125
1714299438.3742132,5724,0.2109375
1714299447.6540601,5809,0.2890625
1714299453.7142365,5865,0.25
1714299454.8777914,5872,0.21875
1714299458.7837887,5908,0.3203125
1714299467.8694239,5991,0.28125
1714299490.8665564,6201,0.234375
1714299492.942353,6220,0.2578125
1714299500.9232526,6290,0.265625
1714299510.4497044,6377,0.2578125
1714299532.0601892,6575,0.265625
1714299535.2390392,6604,0.2265625
1714299546.0299792,6700,0.3125
1714299547.33669,6712,0.2421875
1714299562.9358103,6855,0.3046875
1714299575.1705892,6967,0.2890625
1714299591.683329,7115,0.3515625
1714299596.1478705,7156,0.3671875
1714299620.9036746,7383,0.265625
1714299629.7123373,7461,0.28125
1714299630.0350733,7464,0.2890625
1714299631.6649487,7479,0.3671875
1714299635.2594206,7512,0.3984375
1714299665.4676423,7789,0.328125
1714299666.551844,7799,0.3359375
1714299673.2316318,7834,0.328125
1714299690.4737642,7992,0.3671875
1714299698.6263268,8067,0.34375
1714299711.0412228,8181,0.359375
1714299715.7912831,8222,0.3203125
1714299731.2849784,8364,0.3125
1714299731.8304152,8369,0.3046875
1714299732.80323,8378,0.328125
1714299745.968181,8499,0.390625
1714299747.0561428,8509,0.34375
1714299757.176058,8602,0.36250001192092896
1714299787.722012,8879,0.328125
1714299793.161976,8929,0.375
1714299793.9227192,8936,0.3671875
1714299800.5836575,8994,0.328125
1714299829.694654,9261,0.4296875
1714299852.7470996,9469,0.3359375
1714299862.1277514,9555,0.421875
1714299863.5450711,9568,0.390625
