Wall time,Step,Value
1715106829.7187579,43,0.4296875
1715106829.995786,46,0.4375
1715106831.8881392,72,0.4375
1715106833.1091037,95,0.5
1715106836.6235952,168,0.5390625
1715106839.739133,230,0.4921875
1715106839.9269736,235,0.5234375
1715106841.0591185,256,0.6328125
1715106841.9326658,274,0.625
1715106844.4106414,309,0.6015625
1715106844.6106944,311,0.5390625
1715106845.2065642,319,0.65625
1715106857.6110442,475,0.5546875
1715106860.957068,537,0.6796875
1715106863.0930939,580,0.71875
1715106863.4917357,587,0.671875
1715106865.847074,635,0.703125
1715106866.5030172,648,0.6640625
1715106867.7503314,672,0.671875
1715106870.9294357,715,0.7109375
1715106871.4444935,723,0.7265625
1715106874.917039,786,0.7421875
1715106875.6920278,803,0.6875
1715106876.0690968,809,0.703125
1715106877.4217908,837,0.7109375
1715106885.2840402,972,0.7890625
1715106887.5120668,1015,0.6875
1715106890.0947537,1067,0.765625
1715106891.9721837,1105,0.7109375
1715106896.9840252,1181,0.6796875
1715106901.2109048,1262,0.765625
1715106903.9732678,1317,0.765625
1715106904.140615,1320,0.828125
1715106904.9060788,1334,0.796875
1715106905.069977,1338,0.6796875
1715106907.8230429,1386,0.765625
1715106908.522122,1393,0.78125
1715106911.095971,1437,0.7890625
1715106912.6298819,1467,0.765625
1715106915.5677266,1524,0.7578125
1715106917.004407,1553,0.796875
1715106918.058049,1569,0.828125
1715106918.8954997,1585,0.8515625
1715106925.255216,1692,0.71875
1715106927.4566934,1735,0.8515625
1715106927.609821,1738,0.75
1715106933.3637204,1845,0.8125
1715106935.0307019,1867,0.8046875
1715106935.9450212,1878,0.765625
1715106937.9066937,1918,0.828125
1715106938.7635791,1935,0.7421875
1715106939.4611428,1948,0.8359375
1715106944.196198,2037,0.7890625
1715106947.9991727,2097,0.8125
1715106952.9050775,2188,0.8046875
1715106953.5337162,2200,0.828125
1715106955.2109947,2232,0.8125
1715106955.5112987,2238,0.828125
1715106956.809077,2263,0.8046875
1715106959.1936834,2308,0.8203125
1715106964.6974177,2390,0.8046875
1715106967.033857,2437,0.8203125
1715106967.9450526,2454,0.8046875
1715106968.09612,2456,0.8359375
1715106968.360033,2461,0.8203125
1715106969.5928187,2486,0.828125
1715106969.63511,2487,0.7734375
1715106970.2710025,2499,0.796875
1715106970.5211494,2504,0.8515625
1715106972.1287177,2533,0.8203125
1715106973.370643,2548,0.8203125
1715106973.802176,2554,0.8046875
1715106981.021034,2686,0.8515625
1715106984.1546378,2741,0.8203125
1715106997.369227,2968,0.8359375
1715107002.2391102,3039,0.84375
1715107002.350581,3042,0.8203125
1715107005.4901025,3100,0.828125
1715107008.869726,3162,0.8671875
1715107013.1557581,3231,0.828125
1715107014.1966152,3245,0.84375
1715107014.30927,3247,0.84375
1715107014.3571787,3248,0.9140625
1715107017.3977544,3306,0.8203125
1715107027.690442,3481,0.796875
1715107035.1524158,3619,0.828125
1715107035.291049,3621,0.8828125
1715107037.8960507,3671,0.9140625
1715107042.4947705,3742,0.8515625
1715107045.21107,3794,0.8125
1715107046.3086624,3815,0.8828125
1715107046.7080889,3822,0.8828125
1715107055.9570112,3929,0.8828125
1715107057.4007404,3957,0.875
1715107058.78864,3985,0.90625
1715107061.4507306,4037,0.8203125
1715107065.2119925,4099,0.875
1715107070.8668146,4197,0.8515625
1715107072.4663637,4228,0.8515625
1715107072.7047756,4233,0.828125
1715107077.622102,4318,0.8359375
1715107077.7420666,4320,0.84375
1715107082.7167256,4401,0.8828125
1715107087.5467196,4493,0.859375
1715107088.479697,4510,0.8515625
1715107089.657919,4531,0.875
1715107097.872752,4665,0.9375
1715107098.0867767,4669,0.890625
1715107098.5030766,4677,0.921875
1715107105.6294134,4789,0.84375
1715107106.6411445,4803,0.8515625
1715107108.7847655,4841,0.8984375
1715107109.5017295,4853,0.859375
1715107111.7384405,4895,0.859375
1715107115.919643,4972,0.859375
1715107121.2140217,5051,0.8359375
1715107121.3466547,5053,0.875
1715107124.3950636,5107,0.8984375
1715107125.8141143,5135,0.875
1715107132.5318065,5240,0.90625
1715107138.1251812,5346,0.8828125
1715107138.834764,5360,0.875
1715107142.1127892,5421,0.8828125
1715107150.1611872,5550,0.890625
1715107157.5529408,5680,0.859375
1715107160.3560386,5724,0.875
1715107164.7200427,5809,0.9140625
1715107165.7761805,5829,0.90625
1715107167.5456786,5865,0.925000011920929
1715107168.2409167,5872,0.8515625
1715107170.8241746,5908,0.8828125
1715107172.3760626,5929,0.859375
1715107175.6141746,5991,0.90625
1715107176.8292644,6011,0.9296875
1715107183.1106448,6122,0.9140625
1715107183.954197,6132,0.921875
1715107187.8920455,6201,0.890625
1715107188.5742369,6214,0.890625
1715107188.921096,6220,0.9296875
1715107189.5828817,6233,0.90625
1715107192.8002985,6290,0.8984375
1715107193.9317625,6313,0.875
1715107198.3961906,6377,0.890625
1715107205.9613676,6521,0.875
1715107209.2487514,6575,0.921875
1715107211.432758,6604,0.9140625
1715107214.480101,6658,0.9140625
1715107216.4770627,6697,0.8828125
1715107216.7051215,6700,0.8828125
1715107217.3404279,6712,0.90625
1715107218.97023,6743,0.859375
1715107225.8768606,6855,0.890625
1715107231.7080626,6967,0.921875
1715107233.058334,6993,0.875
1715107234.226976,7015,0.8984375
1715107240.3449478,7107,0.9140625
1715107240.736415,7115,0.84375
1715107242.837628,7156,0.8515625
1715107247.8009856,7248,0.90625
1715107251.9026806,7312,0.8828125
1715107254.445731,7360,0.8984375
1715107255.6387372,7383,0.859375
1715107256.6063085,7402,0.921875
1715107259.375684,7451,0.90625
1715107259.918479,7461,0.9375
1715107260.0881128,7464,0.8984375
1715107261.1422675,7479,0.921875
1715107263.7480955,7512,0.90625
1715107273.10379,7688,0.8828125
1715107273.3870187,7694,0.90625
1715107278.0117407,7761,0.90625
1715107279.4199753,7789,0.953125
1715107279.9569972,7799,0.9140625
1715107284.501035,7834,0.890625
1715107293.908752,7992,0.8984375
1715107295.749819,8027,0.8671875
1715107297.8043818,8067,0.8671875
1715107305.0166512,8181,0.9375
1715107307.3191721,8222,0.9140625
1715107313.468126,8335,0.9296875
1715107315.7344708,8364,0.921875
1715107315.973459,8369,0.9296875
1715107316.5042617,8378,0.890625
1715107321.2200036,8468,0.9375
1715107321.3555853,8471,0.8828125
1715107322.806766,8499,0.90625
1715107323.3873572,8509,0.9296875
1715107326.7089627,8567,0.9375
1715107329.2517803,8602,0.925000011920929
1715107331.3579724,8636,0.875
1715107334.4795976,8696,0.890625
1715107341.8972096,8820,0.96875
1715107345.0650706,8879,0.8828125
1715107346.5003564,8905,0.8984375
1715107346.6196377,8908,0.9453125
1715107347.6977675,8929,0.90625
1715107348.0641983,8936,0.9140625
1715107351.3958035,8994,0.9765625
1715107351.6480508,9000,0.9375
1715107355.7931604,9056,0.9375
1715107367.1013095,9261,0.921875
1715107370.5414875,9317,0.9375
1715107372.1855245,9349,0.9375
1715107376.997999,9436,0.9140625
1715107378.7076108,9469,0.890625
1715107383.8356254,9548,0.9375
1715107384.238125,9555,0.9296875
1715107384.8820066,9568,0.921875
1715107388.073209,9628,0.921875
1715107389.7057488,9658,0.8828125
1715107391.0230472,9681,0.9609375
1715107391.9966326,9699,0.953125
1715107400.7855995,9844,0.953125
1715107404.0925934,9908,0.9375
1715107413.0529962,10059,0.9453125
1715107414.464687,10085,0.9296875
1715107425.915692,10277,0.9140625
1715107426.319295,10284,0.921875
1715107432.8604164,10397,0.96875
1715107433.1108937,10400,0.9140625
1715107434.592668,10421,0.90625
1715107437.7586465,10480,0.9296875
1715107438.328191,10490,0.9609375
1715107440.1049922,10523,0.9140625
1715107444.7136128,10608,0.96875
1715107447.3128533,10639,0.9765625
1715107448.2339997,10655,0.9140625
1715107449.1617196,10672,0.9609375
1715107451.256277,10712,0.9375
1715107453.6441522,10758,0.921875
1715107453.7221918,10759,0.953125
1715107454.9040577,10781,0.9453125
1715107456.7865367,10816,0.9765625
1715107458.4910765,10842,0.9453125
1715107459.1410532,10851,0.8984375
1715107462.3353856,10903,0.9375
1715107462.4549305,10906,0.9375
1715107464.3051412,10940,0.8984375
1715107464.4359324,10944,0.9296875
1715107465.8667588,10967,0.9296875
1715107466.171123,10973,0.96875
1715107466.2724023,10975,0.96875
1715107468.733688,11021,0.953125
1715107474.1090727,11103,0.953125
1715107475.153717,11122,0.9375
1715107475.6168404,11131,0.96875
1715107479.1240866,11199,0.9375
1715107479.223595,11201,0.9453125
1715107482.5347295,11261,0.9375
1715107492.1191754,11420,0.90625
1715107494.8541563,11473,0.9375
1715107495.8730245,11493,0.9765625
1715107497.9721951,11524,0.921875
1715107498.6480498,11533,0.9453125
1715107499.910149,11550,0.9296875
1715107500.8707614,11567,0.9765625
1715107505.0517268,11649,0.9296875
1715107506.3380032,11672,0.90625
1715107507.0558376,11686,0.8984375
1715107514.7617977,11760,0.921875
1715107520.7285435,11874,0.921875
1715107526.7699957,11970,0.9609375
1715107527.0287814,11975,0.96875
1715107528.9437509,12011,0.953125
1715107530.5026078,12042,0.9375
1715107535.8183262,12139,0.9296875
1715107537.8802974,12165,0.875
1715107538.2030394,12169,0.921875
1715107539.3777416,12185,0.90625
1715107541.5160122,12227,0.953125
1715107544.9870124,12291,0.9375
1715107545.1777117,12294,0.9609375
1715107545.9713182,12310,0.9375
1715107552.1178572,12406,0.9375
1715107554.8791692,12459,0.9296875
1715107559.9215841,12554,0.953125
1715107567.1137996,12672,0.9765625
1715107568.6701124,12700,0.953125
1715107574.3757937,12806,0.9375
1715107579.2820802,12878,0.9375
1715107582.8136892,12940,0.953125
1715107586.9600286,13018,0.9609375
1715107587.85527,13035,0.96875
1715107589.8830876,13062,0.953125
1715107591.4661772,13083,0.953125
1715107592.053721,13095,0.9609375
1715107592.9362228,13110,0.9296875
1715107593.164809,13114,0.9453125
1715107593.9578922,13131,0.9453125
1715107595.8093424,13167,0.9609375
1715107597.9510765,13207,0.9453125
1715107599.7233253,13240,0.9375
1715107606.9761927,13350,0.96875
1715107609.668907,13403,0.9375
1715107609.836954,13407,0.96875
1715107610.9330392,13427,0.9375
1715107615.2673993,13505,0.9921875
1715107618.3351183,13547,0.9375
1715107620.9439511,13598,0.9375
1715107622.19815,13621,0.9375
1715107625.2537603,13680,0.921875
1715107625.391068,13683,0.9375
1715107631.6967225,13777,0.96875
1715107633.5089421,13811,0.9765625
1715107635.415989,13846,0.9375
