Wall time,Step,Value
1715704109.5813038,43,0.1328125
1715704109.7218378,46,0.1015625
1715704110.8715436,72,0.1953125
1715704111.992842,95,0.09375
1715704115.3333502,168,0.0859375
1715704119.5301464,230,0.09375
1715704119.9171586,235,0.09375
1715704121.7261624,256,0.0859375
1715704122.9849625,274,0.15625
1715704124.6275601,309,0.09375
1715704124.7028272,311,0.1015625
1715704125.118362,319,0.1171875
1715704138.2143104,475,0.078125
1715704141.5312543,537,0.1171875
1715704143.530038,580,0.0859375
1715704143.868566,587,0.1171875
1715704146.1828098,635,0.1796875
1715704146.8801272,648,0.140625
1715704148.0045683,672,0.078125
1715704150.4715145,715,0.0546875
1715704151.0727499,723,0.078125
1715704156.0042214,786,0.140625
1715704156.8333447,803,0.1171875
1715704157.1175034,809,0.1484375
1715704158.4375257,837,0.1328125
1715704165.0301683,972,0.171875
1715704168.3485951,1015,0.140625
1715704171.9365556,1067,0.125
1715704173.8034601,1105,0.1015625
1715704177.7754982,1181,0.1484375
1715704182.1758556,1262,0.125
1715704186.428196,1317,0.1015625
1715704186.6922731,1320,0.1484375
1715704187.6145916,1334,0.171875
1715704187.8555567,1338,0.1171875
1715704190.1056237,1386,0.1015625
1715704190.4443507,1393,0.09375
1715704192.5385134,1437,0.140625
1715704193.9865034,1467,0.171875
1715704196.8140285,1524,0.140625
1715704198.575508,1553,0.125
1715704200.0795665,1569,0.109375
1715704201.4543023,1585,0.1796875
1715704207.57462,1692,0.171875
1715704209.6313584,1735,0.1484375
1715704209.8675818,1738,0.140625
1715704216.7813177,1845,0.1015625
1715704218.7401419,1867,0.171875
1715704219.7583134,1878,0.1328125
1715704222.9558012,1918,0.1171875
1715704223.806877,1935,0.1171875
1715704224.4402647,1948,0.203125
1715704228.982153,2037,0.1875
1715704232.0693192,2097,0.1640625
1715704239.0857048,2188,0.1328125
1715704239.6375625,2200,0.15625
1715704241.2495878,2232,0.1640625
1715704241.490588,2238,0.140625
1715704242.681606,2263,0.140625
1715704244.9263167,2308,0.109375
1715704249.227284,2390,0.0703125
1715704252.7856135,2437,0.09375
1715704254.24159,2454,0.09375
1715704254.383264,2456,0.1015625
1715704254.8426251,2461,0.1640625
1715704256.4817355,2486,0.140625
1715704256.515528,2487,0.125
1715704257.1244142,2499,0.15625
1715704257.3395488,2504,0.125
1715704258.791574,2533,0.1796875
1715704259.501236,2548,0.1484375
1715704259.7973564,2554,0.15625
1715704266.8681288,2686,0.140625
1715704271.3824615,2741,0.1171875
1715704283.0915961,2968,0.1171875
1715704288.3094895,3039,0.1875
1715704288.4353428,3042,0.171875
1715704291.1854777,3100,0.1796875
1715704294.5116308,3162,0.1328125
1715704298.291708,3231,0.1796875
1715704299.3827205,3245,0.1015625
1715704299.461664,3247,0.1328125
1715704299.606283,3248,0.1796875
1715704304.1253214,3306,0.171875
1715704312.784196,3481,0.1875
1715704321.8460176,3619,0.1484375
1715704321.9707453,3621,0.109375
1715704324.355463,3671,0.109375
1715704327.7778518,3742,0.1171875
1715704331.039674,3794,0.125
1715704332.519735,3815,0.1015625
1715704333.148295,3822,0.1328125
1715704341.915649,3929,0.1328125
1715704343.385333,3957,0.125
1715704344.7377198,3985,0.109375
1715704348.3991814,4037,0.1796875
1715704352.7921665,4099,0.171875
1715704357.5751917,4197,0.1640625
1715704359.1189709,4228,0.1328125
1715704359.3633633,4233,0.0703125
1715704364.7756786,4318,0.1796875
1715704364.893257,4320,0.1015625
1715704370.3186095,4401,0.171875
1715704374.8858612,4493,0.171875
1715704375.7304583,4510,0.1328125
1715704376.828584,4531,0.171875
1715704385.999546,4665,0.1015625
1715704386.1702874,4669,0.1484375
1715704386.584565,4677,0.1328125
1715704392.4492736,4789,0.15625
1715704393.0724545,4803,0.140625
1715704394.975976,4841,0.1171875
1715704395.7725005,4853,0.1328125
1715704398.88048,4895,0.125
