Wall time,Step,Value
1714936192.5306492,43,0.0
1714936197.9399836,95,0.015625
1714936205.5570111,168,0.0
1714936212.024644,230,0.0078125
1714936212.5444229,235,0.0078125
1714936216.6043766,274,0.0
1714936220.2492127,309,0.015625
1714936220.4568462,311,0.015625
1714936221.2887006,319,0.015625
1714936243.3223085,475,0.0078125
1714936249.7827318,537,0.0
1714936254.2558098,580,0.0078125
1714936254.983424,587,0.015625
1714936259.9820821,635,0.0234375
1714936261.3345149,648,0.0078125
1714936268.313081,715,0.015625
1714936269.1478078,723,0.0078125
1714936278.455091,809,0.0234375
1714936281.3636067,837,0.03125
1714936299.8905306,1015,0.03125
1714936305.2999341,1067,0.0234375
1714936309.276038,1105,0.0234375
1714936317.4572103,1181,0.0390625
1714936325.8708405,1262,0.0
1714936331.6010673,1317,0.0078125
1714936331.9134133,1320,0.015625
1714936333.3663833,1334,0.0
1714936333.7815099,1338,0.0078125
1714936338.777103,1386,0.03125
1714936339.5044258,1393,0.0078125
1714936344.0794656,1437,0.0078125
1714936356.142681,1553,0.03125
1714936370.8455837,1692,0.0078125
1714936375.3230724,1735,0.015625
1714936375.6344674,1738,0.0078125
1714936386.7389736,1845,0.015625
1714936390.171273,1878,0.0390625
1714936394.3312814,1918,0.015625
1714936406.9606216,2037,0.015625
1714936413.1998937,2097,0.046875
1714936423.916187,2200,0.0
1714936430.4660273,2263,0.015625
1714936435.1572475,2308,0.0078125
1714936443.909336,2390,0.015625
1714936448.7923715,2437,0.0546875
1714936453.8939438,2486,0.0
1714936453.9976819,2487,0.0078125
1714936455.2438242,2499,0.0078125
1714936458.7768042,2533,0.0
1714936474.690958,2686,0.015625
1714936480.6692986,2741,0.0078125
1714936504.2591412,2968,0.015625
1714936511.6450436,3039,0.0234375
1714936524.6792305,3162,0.015625
1714936531.8677156,3231,0.0078125
1714936533.5269039,3247,0.0
1714936533.6307416,3248,0.015625
1714936539.6587815,3306,0.0234375
1714936572.4705162,3619,0.0078125
1714936572.6790297,3621,0.0078125
1714936577.8704066,3671,0.0234375
1714936585.2504978,3742,0.0078125
1714936592.842531,3815,0.0078125
1714936593.570294,3822,0.0078125
1714936607.387388,3929,0.0234375
1714936610.3001769,3957,0.0234375
1714936618.6065626,4037,0.015625
1714936625.0480595,4099,0.0078125
